#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 09 13 19  60  0.4  1.4 99.00 99.00 99.00 999 9999.0  11.5 999.0 999.0 99.0 99.00
2008 03 09 14 19  33  1.3  2.3 99.00 99.00 99.00 999 9999.0  11.9 999.0 999.0 99.0 99.00
2008 03 09 15 20  15  1.3  3.0 99.00 99.00 99.00 999 9999.0  12.1 999.0 999.0 99.0 99.00
2008 03 09 16 19 324  0.8  1.8 99.00 99.00 99.00 999 9999.0  13.6 999.0 999.0 99.0 99.00
2008 03 09 17 19 312  1.2  2.0 99.00 99.00 99.00 999 9999.0  14.3 999.0 999.0 99.0 99.00
2008 03 09 18 19 325  0.9  1.6 99.00 99.00 99.00 999 9999.0  15.8 999.0 999.0 99.0 99.00
2008 03 09 19 19 326  2.2  3.7 99.00 99.00 99.00 999 9999.0  15.0 999.0 999.0 99.0 99.00
2008 03 09 20 19 352  2.5  3.7 99.00 99.00 99.00 999 9999.0  15.1 999.0 999.0 99.0 99.00
2008 03 09 21 19  12  0.6  1.5 99.00 99.00 99.00 999 9999.0  19.4 999.0 999.0 99.0 99.00
2008 03 09 22 19 349  1.4  2.3 99.00 99.00 99.00 999 9999.0  19.0 999.0 999.0 99.0 99.00
2008 03 09 23 19   3  1.4  2.3 99.00 99.00 99.00 999 9999.0  20.0 999.0 999.0 99.0 99.00
2008 03 10 00 19  23  1.5  2.1 99.00 99.00 99.00 999 9999.0  20.8 999.0 999.0 99.0 99.00
2008 03 10 01 19 350  1.2  2.0 99.00 99.00 99.00 999 9999.0  18.9 999.0 999.0 99.0 99.00
2008 03 10 02 19  84  0.2  1.4 99.00 99.00 99.00 999 9999.0  16.5 999.0 999.0 99.0 99.00
2008 03 10 03 19 116  1.0  2.1 99.00 99.00 99.00 999 9999.0  15.9 999.0 999.0 99.0 99.00
2008 03 10 04 19  71  0.6  1.6 99.00 99.00 99.00 999 9999.0  15.6 999.0 999.0 99.0 99.00
2008 03 10 05 20 129  1.1  2.2 99.00 99.00 99.00 999 9999.0  16.6 999.0 999.0 99.0 99.00
2008 03 10 06 19  77  0.5  1.6 99.00 99.00 99.00 999 9999.0  16.2 999.0 999.0 99.0 99.00
2008 03 10 07 19  10  0.5  1.2 99.00 99.00 99.00 999 9999.0  15.7 999.0 999.0 99.0 99.00
2008 03 10 08 19 203  0.6  2.0 99.00 99.00 99.00 999 9999.0  15.6 999.0 999.0 99.0 99.00
2008 03 10 09 19  97  1.1  2.5 99.00 99.00 99.00 999 9999.0  15.8 999.0 999.0 99.0 99.00
2008 03 10 09 40  89  1.0  1.7 99.00 99.00 99.00 999 9999.0  15.7 999.0 999.0 99.0 99.00
2008 03 10 10 19 114  0.5  1.3 99.00 99.00 99.00 999 9999.0  15.3 999.0 999.0 99.0 99.00
2008 03 10 11 19 240  0.8  1.6 99.00 99.00 99.00 999 9999.0  14.5 999.0 999.0 99.0 99.00
2008 03 10 12 20  12  0.6  2.2 99.00 99.00 99.00 999 9999.0  14.1 999.0 999.0 99.0 99.00
2008 03 10 13 19  66  0.2  1.1 99.00 99.00 99.00 999 9999.0  14.1 999.0 999.0 99.0 99.00
2008 03 10 14 20  89  1.0  2.6 99.00 99.00 99.00 999 9999.0  14.4 999.0 999.0 99.0 99.00
2008 03 10 15 19  78  0.8  2.0 99.00 99.00 99.00 999 9999.0  15.5 999.0 999.0 99.0 99.00
2008 03 10 16 19   3  0.5  1.4 99.00 99.00 99.00 999 9999.0  16.5 999.0 999.0 99.0 99.00
2008 03 10 17 19   3  0.7  1.3 99.00 99.00 99.00 999 9999.0  18.4 999.0 999.0 99.0 99.00
2008 03 10 18 19 261  0.1  0.6 99.00 99.00 99.00 999 9999.0  19.3 999.0 999.0 99.0 99.00
2008 03 10 19 19 333  0.1  0.8 99.00 99.00 99.00 999 9999.0  22.3 999.0 999.0 99.0 99.00
2008 03 10 20 19 284  0.7  1.3 99.00 99.00 99.00 999 9999.0  21.1 999.0 999.0 99.0 99.00
2008 03 10 21 20 328  1.5  2.3 99.00 99.00 99.00 999 9999.0  21.7 999.0 999.0 99.0 99.00
2008 03 10 22 19 354  1.8  4.3 99.00 99.00 99.00 999 9999.0  23.0 999.0 999.0 99.0 99.00
2008 03 10 23 19  12  2.5  3.5 99.00 99.00 99.00 999 9999.0  22.2 999.0 999.0 99.0 99.00
2008 03 11 00 19   7  2.4  3.8 99.00 99.00 99.00 999 9999.0  20.9 999.0 999.0 99.0 99.00
2008 03 11 01 19  11  4.6  5.5 99.00 99.00 99.00 999 9999.0  19.6 999.0 999.0 99.0 99.00
2008 03 11 02 19   4  4.0  5.8  0.53 12.19 99.00 999 9999.0  17.9 999.0 999.0 99.0 99.00
2008 03 11 03 19  12  1.7  2.9  0.55 11.13 99.00 999 9999.0  17.4 999.0 999.0 99.0 99.00
2008 03 11 04 19 171  0.6  3.0  0.54 11.13 99.00 999 9999.0  16.8 999.0 999.0 99.0 99.00
2008 03 11 05 19 226  0.4  2.3  0.53 11.13 99.00 999 9999.0  16.7 999.0 999.0 99.0 99.00
2008 03 11 06 19 175  1.0  1.6  0.52 12.19 99.00 999 9999.0  16.1 999.0 999.0 99.0 99.00
2008 03 11 07 19 166  1.1  1.9  0.55 10.24 99.00 999 9999.0  15.6 999.0 999.0 99.0 99.00
